campaign,campaign_id,shop,products,rate_min,rate_max,rate_label,rate_detail,categories,started,latest,shop_count,rep_image,rep_name
かわうそ市場様 × EnterCommerce,7636339543226861332,高知かわうそ市場,1,7.0,7.0,7%,7%×1件,食品,2026-05-05,2026-05-05,1,product-images/1735336454346213240.jpeg,【肉厚】訳あり 塩銀鮭 厚切り切身【1.5～3kgまで選択可能】
NEO Lifestyle様 × EnterCommerce,7634476363039262484,NEO lifestyle 暮らしを便利に,5,15.0,15.0,15%,15%×5件,生活・雑貨／ファッション・アパレル／食品,2026-04-30,2026-04-30,1,product-images/1731817266826282235.jpeg,【満足度90％超え！リピート多数】まるで魔法！ 吸水2.5倍 国内発送 プレミアムバスマット Mirx ミラクス 珪藻土バスマット  珪藻土マット ソフト 速乾 冷たくない 割れない ノンアスベスト  ソフトタイプ 大判 バスマット 足拭き 柔らか5mm厚 お風呂 手入れ簡単  60*40cm  70*50cm
三京商会,7629985068739593991,三京商会｜Leather Gallery,13,11.0,12.0,11%〜12%,12%×10件｜11%×3件,ファッション・アパレル／生活・雑貨,2026-04-18,2026-04-18,1,product-images/1735387323209319739.jpeg,ハンディファン 超小型 ポケットサイズ 軽量 5段階風量
CICIBELLA × EnterCommerce,7629325921251641109,【公式】CICIBELLA,5,8.0,8.0,8%,8%×5件,美容・コスメ,2026-04-17,2026-04-17,1,product-images/1731524258097366208.jpeg,【夏先取りセール】CICIBELLA｜瞬間吸水ヘアドライタオル｜速乾 ｜約２分台で髪を乾かす｜豪華特典付き｜シシベラ
SOWAN x Entercommerce,7626657769202960146,SOWAN（ソワン）,116,15.0,15.0,15%,15%×116件,ファッション・アパレル／キッズ・ベビー,2026-04-09,2026-04-09,1,product-images/1736464419847636894.jpeg,シルクアームカバー UV 肌色 おしゃれ 素肌 手の甲 手首 長め 夏用 日本製 日焼け 日除け ロング ゆったり
宅麺ドットコム様,7626638611432310535,宅麺ドットコム,19,12.0,12.0,12%,12%×19件,食品,2026-04-09,2026-04-09,1,product-images/1735157285603280566.jpeg,お得な《らくうまっ宅麺４食セット》（麺処 晴 2食、拉麺大公 2食）宅麺.com【公式】味噌ラーメン 煮干し醤油ラーメン 簡単 ラーメン らーめん 冷凍 スープ 4個
MBX様(im meme) x Entercommerce,7625493089433011976,I'm meme アイムミミ,2,25.0,25.0,25%,25%×2件,美容・コスメ,2026-04-06,2026-04-06,1,product-images/1731710698644604536.jpeg,[i'm meme／アイムミミ] アイムスティックシャドウシマー涙袋コスメ スティックアイシャドウ （全5色）
MBX様(nooni) x Entercommerce,7625468962940487442,nooni ヌニ,1,25.0,25.0,25%,25%×1件,美容・コスメ,2026-04-06,2026-04-06,1,product-images/1733283195355235673.jpeg,【TikTok Shop限定】 [nooni / ヌニ]アップルリップオイル セット/ オイルティント / リップティント
ADVANCED CLINICALS様,7623697700903077650,【日本公式】ADVANCED CLINICALS,8,12.0,12.0,12%,12%×8件,美容・コスメ,2026-04-01,2026-04-01,1,product-images/1731683297015006778.jpeg,【日本公式】Advanced Clinicals レチノール アドバンスド ファーミングクリーム
POTENIA SHOP様 × EnterCommerce,7623764209734027015,【公式】POTENIA SHOP,1,15.0,15.0,15%,15%×1件,美容・コスメ,2026-04-01,2026-04-01,1,product-images/1731846488457184813.jpeg,【公式】塩化カリウム1200 カリウム サプリ 医師&管理栄養士のW監修 栄養機能食品 日本製 GMP認定工場 ビタミンC配合
コメライフ様 × EnterCommerce,7618100002677737223,コメライフ,4,2.0,2.0,2%,2%×4件,食品,2026-03-17,2026-03-17,1,product-images/1733819828635796720.jpeg,ひのひかり 令和7年 福岡県産 白米 お米 安い 精米 おすすめ
TheOniku × EnterCommerce,7617841097436382984,TheOniku,3,7.0,7.0,7%,7%×3件,食品,2026-03-16,2026-03-16,1,product-images/1734076411262306275.jpeg,【家族でおうち焼肉】TheOniku 【送料無料】 黒毛和牛 タレ漬けロースひとくちステーキ 冷凍 食品 牛肉 ロース肉 焼肉 バーベキュー 400g
LANEIGE × EnterCommerce,7616580403298502408,LANEIGE Japan,1,20.0,20.0,20%,20%×1件,美容・コスメ,2026-03-13,2026-03-13,1,product-images/1732996532938573235.jpeg,【LANEIGE公式】《国内発送》リップスリーピングマスク  BerryFruitComplex配合 ココナッツオイル入り 保湿効果で滑らかでふっくらとした唇へ導く
toriko love chocolate,7616089228853888786,toriko love chocolate,2,15.0,20.0,15%〜20%,20%×1件｜15%×1件,食品,2026-03-12,2026-03-12,1,product-images/1732323650195457646.jpeg,torikoトリコラブチョコレート 1セット（3粒入り）チョコ、お菓子
タングルティーザー様,7615906035946718994,タングルティーザージャパン,1,13.0,13.0,13%,13%×1件,美容・コスメ,2026-03-11,2026-03-11,1,product-images/1732547573562901884.jpeg,【6/23(火)9:00～ 990円】公式 タングルティーザー ザ・オリジナル ノーマル 魔法のブラシ TANGLE TEEZER
レキット様 x EnterCommerce,7615455043024324359,【公式】レキットベンキーザー・ジャパン株式会社,17,6.0,6.0,6%,6%×17件,美容・コスメ,2026-03-10,2026-03-10,1,product-images/1733024824662656345.jpeg,フィニッシュ 食洗機用洗剤 パワーキューブ M×2
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,19,30.0,30.0,30%,30%×19件,美容・コスメ,2026-03-03,2026-03-03,1,product-images/1732263809155041215.jpeg,TIRTIR  マスクフィットレッドクッション SPF40 PA++  72時間持続 密着カバー ツヤ肌 長時間キープ ファンデーション クッションファンデ 韓国コスメ
Colorkey様,7610363706031965960,colorkey_jp,7,25.0,25.0,25%,25%×7件,美容・コスメ,2026-02-24,2026-02-24,1,product-images/1732836131725149670.jpeg,【ティントなし】Colorkeyリキッドリップウォーターミストリキッドリップ｜落ちにくいリップ｜保湿｜自然な血感リップ｜低彩度｜リップグロス｜マット仕上がりリップ
LIVE用特別料率キャンペーン,7604793940868908807,複数ショップ（12店舗）,151,3.0,27.0,3%〜27%,27%×5件｜22%×4件｜17%×35件｜15%×52件｜12%×26件｜11%×10件｜10%×2件｜7%×13件｜6%×2件｜3%×2件,美容・コスメ／ファッション・アパレル／食品,2026-02-09,2026-02-09,19,product-images/1732382886518556485.jpeg,Nature In 【5:1の黄金バランス】1粒ルテイン 30mg +ゼアキサンチン 6mg 90日分（90粒入）リポソームルテイン アスタキサンチン ビルベリーエキス配合 小粒ハードカプセル サプリメント フリー体ルテイン
