campaign,campaign_id,shop,category,cat_src,name,price,rate,aff,product_id,image,start,end,live
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR ウォーターリズムグロウメルティングバーム　バーム 9色 口紅  韓国コスメ  落ちない口紅  潤う  ツヤ  保湿,"1,485円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8e0dxdkZR,1733632292176955327,product-images/1733632292176955327.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR ウォーターメロウリップバーム　リップバーム 4色 韓国コスメ  落ちない口紅  潤う ツヤ  保湿,"1,485円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8bPio3YVW,1733632651294050239,product-images/1733632651294050239.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR マスクフィットルビーメッシュクッション　ツヤ 高カバー グロウ PDRNクッション ルビークッション クッションファンデ 韓国コスメ,"2,673円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8e0d4dvFv,1733633086565746623,product-images/1733633086565746623.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR グライド&ハイドブラーリングコンシーラー　2in1 3色 スティック4g  リキッド4g 高カバー 毛穴カバー コンシーラー 韓国コスメ,"1,634円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8e0dxuajC,1733633342112237503,product-images/1733633342112237503.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR マスクフィットレッドファンデーション SPF40 PA++　ファンデーション  ハイカバー  密着  リキッドファンデーション  韓国コスメ,"2,970円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8bPioKZXY,1733633454186858431,product-images/1733633454186858431.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR  マスクフィットオールカバーデュアルカラーコンシーラー STICK 4g / TIP 4.5g リキッドコンシーラー  コンシーラースティック  ベースメイク  韓国コスメ,"1,634円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8e0d4unr8,1734317809190275007,product-images/1734317809190275007.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR  ムードグライダーリップ&ブラッシュスティック 5色 リップ チーク ティルティル 韓国コスメ,"1,980円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8e0dyBi7q,1734318085570201535,product-images/1734318085570201535.jpeg,2026-03-03,2026-12-31,
TIRTIR様×EnterCommerce,7612865217580959495,tirtir.jp,美容・コスメ,id,TIRTIR プリズムハイライターデュオ  サテン メタリック ツヤ 3Dパール ハイライター アイシャドウ 韓国コスメ,"2,376円",30.0,https://affiliate.tiktok.com/api/v1/share/ALL8bPiobfwY,1734319260036335551,product-images/1734319260036335551.jpeg,2026-03-03,2026-12-31,
LIVE用特別料率キャンペーン,7604793940868908807,Nature In【公式】,美容・コスメ,shopmajor,Nature In 【5:1の黄金バランス】1粒ルテイン 30mg +ゼアキサンチン 6mg 90日分（90粒入）リポソームルテイン アスタキサンチン ビルベリーエキス配合 小粒ハードカプセル サプリメント フリー体ルテイン,"1,890円-5,225円",27.0,https://affiliate.tiktok.com/api/v1/share/ALL8qq3Vt73q,1732382886518556485,product-images/1732382886518556485.jpeg,2026-02-09,2027-05-31,
LIVE用特別料率キャンペーン,7604793940868908807,Nature In【公式】,美容・コスメ,id,【100日分のNMN】Nature In(ネイチャーイン) NMN30000mg配合（1粒に300mg） 日本製 高純度99%以上 大容量（100粒） 国内GMP認定工場 日本製,"3,790円-9,490円",27.0,https://affiliate.tiktok.com/api/v1/share/ALL8oBwfW4L0,1731714321527572293,product-images/1731714321527572293.jpeg,2026-02-09,2027-05-31,⚪︎
LIVE用特別料率キャンペーン,7604793940868908807,Nature In【公式】,美容・コスメ,id,【高濃度アスタキサンチン 1粒10mg】Nature In(ネイチャーイン) 60日分(60粒) 600mg配合 DHA EPA オメガ3 ビタミンE カプセル サプリメント 国内製造 日本製,"2,366円-5,690円",27.0,https://affiliate.tiktok.com/api/v1/share/ALL99XtmHjcA,1731844485835032389,product-images/1731844485835032389.jpeg,2026-02-09,2027-05-31,⚪︎
LIVE用特別料率キャンペーン,7604793940868908807,Nature In【公式】,美容・コスメ,id,【Nature In】マグネシウムバーム  高濃度  経皮吸収  塩化マグネシウム,"1,890円-6,830円",27.0,https://affiliate.tiktok.com/api/v1/share/ALL9Iq4fRYGg,1733438307636315973,product-images/1733438307636315973.jpeg,2026-02-09,2027-05-31,⚪︎
LIVE用特別料率キャンペーン,7604793940868908807,Nature In【公式】,美容・コスメ,id,【Nature In】ビオリレー BIO RELAY 1日1粒 オールインワン腸活サプリ （60粒入/60日分）6兆個 25種類 ヒト由来 乳酸菌 ビフィズス菌 酢酸菌 酪酸菌 トリプトファン ラフマ ネムノキ イヌリン オリゴ糖 プロバイオティクス プレバイオティクス,"2,840円-6,640円",27.0,https://affiliate.tiktok.com/api/v1/share/ALL99XtmYjUR,1734296590848198469,product-images/1734296590848198469.jpeg,2026-02-09,2027-05-31,⚪︎
チホサポ × EnterCommerce,7646244736915195666,COOPYJAPAN,美容・コスメ,shop,COOPY公式 PDRN サーモンアンプル 30ml,"3,300円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL5cqt4TTtf,1734378142694344273,product-images/1734378142694344273.jpeg,2026-06-01,2027-04-30,
MBX様(im meme) x Entercommerce,7625493089433011976,I'm meme アイムミミ,美容・コスメ,id,[i'm meme／アイムミミ] アイムスティックシャドウシマー涙袋コスメ スティックアイシャドウ （全5色）,"1,035円-1,950円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8Vrcwj4og,1731710698644604536,product-images/1731710698644604536.jpeg,2026-04-06,2027-02-28,
MBX様(im meme) x Entercommerce,7625493089433011976,I'm meme アイムミミ,美容・コスメ,id,[I'm meme / アイムミミ] アイムマルチスティックデュアル シェーディング ノーズシャドウ ハイライトスティック 整形スティック,"1,500円-2,240円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8XHSeoIVK,1731654789675320952,product-images/1731654789675320952.jpeg,2026-04-06,2027-02-28,
PHOEBE BEAUTY UP様,7657644188943533842,PHOEBE BEAUTY UP,美容・コスメ,id,【公式】セラムショットN（毛穴美容液）フィービー ビューティーアップ,"4,312円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL5OTjS5OIP,1734375475631981967,product-images/1734375475631981967.jpeg,2026-07-02,2027-06-30,
Colorkey様,7610363706031965960,colorkey_jp,美容・コスメ,id,【ティントなし】Colorkeyリキッドリップウォーターミストリキッドリップ｜落ちにくいリップ｜保湿｜自然な血感リップ｜低彩度｜リップグロス｜マット仕上がりリップ,"1,548円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8ml6cYSG9,1732836131725149670,product-images/1732836131725149670.jpeg,2026-02-24,2027-04-30,
Colorkey様,7610363706031965960,colorkey_jp,美容・コスメ,id,【ティント】Colorkeyティントウォーターミストリップ｜8時間落ちないリップ｜pytリップ｜リップティント｜トリデン リップ｜リップグロス｜チェリーピンク｜plumping lip gloss｜デューティント,"1,548円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8l33dYHxu,1732836188471723494,product-images/1732836188471723494.jpeg,2026-02-24,2027-04-30,
Colorkey様,7610363706031965960,colorkey_jp,美容・コスメ,id,【ティントなし】2点セットリキッドリップColorkeyマットウォーターミスト｜落ちにくいリップ｜保湿｜自然な血感リップ｜低彩度｜リップグロス｜マット仕上がり,"3,096円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8lowfd8k0,1732884261507335654,product-images/1732884261507335654.jpeg,2026-02-24,2027-04-30,
Colorkey様,7610363706031965960,colorkey_jp,美容・コスメ,id,【New】Colorkeyちゅるん水光リップラスティングシャインラッカー色持ち艶感保湿ベージュ リップエクストラシャイン リップラッカー,"1,548円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8ml6cpTpJ,1733629973524088294,product-images/1733629973524088294.jpeg,2026-02-24,2027-04-30,
Colorkey様,7610363706031965960,colorkey_jp,美容・コスメ,id,【New】【2点セット送料無料】Colorkeyちゅるん水光リップリップラスティングシャインラッカー水光ちゅるんリップ色持ち艶感＆保湿バズるリップ｜カップにつかない色持ち｜水光感たっぷりリップ｜エクストラシャイン リップラッカー,"3,096円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8l33h7uSR,1733630029267961318,product-images/1733630029267961318.jpeg,2026-02-24,2027-04-30,
Colorkey様,7610363706031965960,colorkey_jp,美容・コスメ,id,【New】【送料無料】2点セットColorkeyリップチーク｜シルキーマットリップチーク｜自然な血感色｜リップグロス｜マッド仕上がり｜マットリップ,"3,360円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8lowfu5fQ,1733630377167848934,product-images/1733630377167848934.jpeg,2026-02-24,2027-04-30,
Colorkey様,7610363706031965960,colorkey_jp,美容・コスメ,id,【New】Colorkeyリップチーク｜シルキーマットリップチーク｜チューイング グロウポット｜リップグロス｜マッド仕上がり｜マットリップ,"1,680円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8ml6d6Y6L,1733630386976556518,product-images/1733630386976556518.jpeg,2026-02-24,2027-04-30,
MBX様(nooni) x Entercommerce,7625468962940487442,nooni ヌニ,美容・コスメ,id,【TikTok Shop限定】 [nooni / ヌニ]アップルリップオイル セット/ オイルティント / リップティント,"2,930円-3,876円",25.0,https://affiliate.tiktok.com/api/v1/share/ALL8c9glxWxX,1733283195355235673,product-images/1733283195355235673.jpeg,2026-04-06,2027-03-31,
