商品名称,取引金額 (円),売上高成長率,販売数,商品レビュー,平均取引金額 (円),報酬率,クリエイター数,クリエイター取引成立率,アップロード時間,カテゴリー,ライブ取引金額 (円),動画取引金額 (円),TikTokリンク,Kalodata詳細リンク
【令和8年産新米一等米あきたこまち】【茨城県産】お米 米 5kg/10kg/20kg/30kg 産地直送 産地厳選 白米 精米済み ふっくら甘みのある味わい 冷めてもおいしい お弁当 おにぎり 和食 定食 カレー 丼 混ぜご飯におすすめ 国産米 家庭用 常備米 日常使い お取り寄せグルメ 人気 お試し 使いやすい5kg/15kg 日本のお米,530万円,85.6%,2888,4.9,"1,835円",5%,50,58%,2026-08-31,食品・飲料,479万円,51万円,https://shop.tiktok.com/view/product/1737282613466596465?region=JP,https://www.kalodata.com/product/detail?id=1737282613466596465
Dr alba ダーマプログラムディープアンチエイジングツボクサの修復深い浸透専門家が推奨するフェイシャルエッセンス,527万円,438%,271,4.7,2万円,15%,8,62.5%,2026-04-24,美容・パーソナルケア,525万円,2万円,https://shop.tiktok.com/view/product/1735202677797193331?region=JP,https://www.kalodata.com/product/detail?id=1735202677797193331
【#10秒リップタトゥー 】話題のシルバーベールティッシュオフリップタトゥー 6種｜milktouch,526万円,-79.9%,4955,4.1,"1,062円",10%,354,46.33%,2026-08-11,美容・パーソナルケア,354万円,172万円,https://shop.tiktok.com/view/product/1736866733958137248?region=JP,https://www.kalodata.com/product/detail?id=1736866733958137248
≪PLU公式≫単品/2個セットパフュームドシーソルトボディスクラブ　ジャー500g 　【ウッディフローラル】【ホワイトブラン】【フルールソープ】【ボタニカルベリー】,526万円,24.6%,2862,4.4,"1,837円",10%,260,29.62%,2026-02-26,美容・パーソナルケア,15万円,511万円,https://shop.tiktok.com/view/product/1734425961887270563?region=JP,https://www.kalodata.com/product/detail?id=1734425961887270563
スマートタグ iphone キーホルダー 子供用 2026 長距離 自転車  極小 ケース こども 小型 子供 高齢者 財布 スーツケース iPhone 紛失防止タグ 月額不要 Apple認証 見守り 鍵 追跡,521万円,29.6%,2360,4.2,"2,206円",10%,77,67.53%,2026-05-17,スマートフォン・エレクトロニクス,53万円,468万円,https://shop.tiktok.com/view/product/1735574178117027313?region=JP,https://www.kalodata.com/product/detail?id=1735574178117027313
カット うなぎ 約80g×5枚or10枚 ウナギ 鰻 蒲焼き 選べる カット済み 二ホンウナギ 美味しい 大きい うなぎの蒲焼き 鰻の蒲焼 うなぎ蒲焼 ウナギ蒲焼き カット 贈り物 旬の味覚 グルメ 食べ物 ランキング ギフト,517万円,-39.7%,1148,4.4,"4,507円",5%,125,36%,2026-03-09,食品・飲料,481万円,36万円,https://shop.tiktok.com/view/product/1734518738542625984?region=JP,https://www.kalodata.com/product/detail?id=1734518738542625984
PRITOM 10.1インチタブレット、Android 16搭載・Google Play（GMS認証）対応、16GB＋64GB（microSDカード拡張対応）、オクタコア＋5GデュアルバンドWi‑Fi 6、ブルー、AI機能（Google Gemini）搭載。キーボード、スタイラスペン、保護ケース、マウス同梱。 オフィスでの作業、勉強、ゲームに最適で、また理想的なギフトにもなります。,516万円,-51.4%,327,4.1,2万円,1%,11,54.55%,2026-06-23,スマートフォン・エレクトロニクス,4万円,512万円,https://shop.tiktok.com/view/product/1736141978912131070?region=JP,https://www.kalodata.com/product/detail?id=1736141978912131070
【スターターセット】 Brighte (ブライト)/ Brighte ELEKI  LIFT ( ブライト エレキリフト) ブラック/ アイスブルー/ピンク 美顔器 リフト,513万円,333.3%,254,4.6,2万円,-,70,60%,2026-05-16,美容・パーソナルケア,513万円,0円,https://shop.tiktok.com/view/product/1735480128288425149?region=JP,https://www.kalodata.com/product/detail?id=1735480128288425149
仕切り付きバッグインバッグ BAG 豊富なカラー インナーバッグ ポケット 通勤 お出かけ 推し活 ギフト 仕切り付き 整理整頓 自立型 丈夫 型が崩れにくい【euni-56】,509万円,-47.2%,2791,4.4,"1,822円",7%,219,47.95%,2026-01-17,旅行かばん・バッグ,345万円,164万円,https://shop.tiktok.com/view/product/1734019371617847090?region=JP,https://www.kalodata.com/product/detail?id=1734019371617847090
Enchenal Lab レディースシェーバー 【銀イオン抗菌メッシュ刃/3in1全身ケア/コンパクトデザイン】 女性用 電動シェーバー 顔/腕/脚/脇/VIO対応 ボディ＆フェイスシェーバー ムダ毛処理 肌にやさしい設計 Type-C充電式 持ち運び便利,507万円,131.6%,1269,4.3,"3,991円",12%,175,27.43%,2026-07-23,美容・パーソナルケア,48万円,459万円,https://shop.tiktok.com/view/product/1736655164407514912?region=JP,https://www.kalodata.com/product/detail?id=1736655164407514912
