商品名称,取引金額 (円),売上高成長率,販売数,商品レビュー,平均取引金額 (円),報酬率,クリエイター数,クリエイター取引成立率,アップロード時間,カテゴリー,ライブ取引金額 (円),動画取引金額 (円),TikTokリンク,Kalodata詳細リンク
【無添加・無塩 骨取り済み！】 希少な国産 さば サバ 鯖 グラムが選べる約1kg(6〜9枚）約2kg(12〜18枚）骨取り 国産サバ 海鮮 天然 美味しい 魚 魚介 海産物 おかず おつまみ 乾き物 酒の肴 贈り物 お取り寄せ,"1,215万円",-43.2%,2696,4.1,"4,508円",7%,152,61.18%,2025-11-28,食品・飲料,220万円,996万円,https://shop.tiktok.com/view/product/1732177437505520832?region=JP,https://www.kalodata.com/product/detail?id=1732177437505520832
8/31【シミ/肝斑 特化】【ABITOKYO】　DIFFER & DEEPER メラチノールシミケアクリーム3本　209　特典：メラチノールシミケアクリーム1本　 即席味噌汁 5袋入り 1箱,"1,188万円",-100%,712,4.4,2万円,-,2,100%,2026-06-29,美容・パーソナルケア,"1,188万円",0円,https://shop.tiktok.com/view/product/1735768829861528810?region=JP,https://www.kalodata.com/product/detail?id=1735768829861528810
冷蔵便配送　割れチョコ 1袋(200g入り) 訳あり チョコレート  選べる チョコ スイーツ 大浜スイーツアカデミー,"1,187万円",-44.6%,7903,4.5,"1,502円",5%,429,49.65%,2026-01-01,食品・飲料,654万円,533万円,https://shop.tiktok.com/view/product/1733803179348035398?region=JP,https://www.kalodata.com/product/detail?id=1733803179348035398
UHA味覚糖 グミの日セレクション2026 - 29種類のグミ - 希少フレーバーも - 定番商品も - かぶり無しで楽しむ - 誰もが楽しめる商品 - みんなでワイワイUHA味覚糖お菓子パーティー - SNS映えもばっちり,"1,187万円",-69.9%,1808,4.7,"6,563円",-,6,100%,2026-09-03,食品・飲料,195万円,991万円,https://shop.tiktok.com/view/product/1737296082246141404?region=JP,https://www.kalodata.com/product/detail?id=1737296082246141404
【公式】ELLISS-エルリス リポソーマルビタミンC 1000mg 選べるレモン風味 あまおう風味 30包,"1,176万円",15.9%,6369,4.6,"1,846円",10%,458,35.37%,2025-08-26,健康,175万円,"1,001万円",https://shop.tiktok.com/view/product/1732095504970187957?region=JP,https://www.kalodata.com/product/detail?id=1732095504970187957
【９月24日より順次発送】海老餃子 100個 一龍堂 餃子 60％以上が海老（具）【ショップ・ザ・イヤー2024 受賞】【月間約120万個完売】えび エビ えび ぎょうざ ギョウザ ギョーザ えび餃子 冷凍 生餃子 冷凍食品 冷凍餃子  鮮度抜群 ぷりぷり 送料無料,"1,169万円",-75%,1878,4.7,"6,226円",9%,177,40.68%,2025-11-21,食品・飲料,926万円,243万円,https://shop.tiktok.com/view/product/1733205673682306190?region=JP,https://www.kalodata.com/product/detail?id=1733205673682306190
"【店慶記念 期間限定】布団クリーナー 布団用掃除機 配送無料 埼玉県発送 布団掃除機 コードレス 『新設計・超軽量・ダブルカップフィルター式設計』13Kpa強力吸引 たたきは約8,0000回/分 HEPAフィルター 低騒音 Type-C充電 大容量バッテリー 長時間稼働 高効率除菌 マットレス・ソファ・カーペット対応","1,165万円",-48.7%,2124,4.5,"5,484円",5%,256,28.91%,2025-11-30,家電製品,149万円,"1,015万円",https://shop.tiktok.com/view/product/1733187221038073295?region=JP,https://www.kalodata.com/product/detail?id=1733187221038073295
豪華スクイーズ お得満載もちもち触感 ゆっくりとした反動でストレス解消になるおもちゃ,"1,156万円",-12.3%,7117,4.5,"1,624円",8%,140,85%,2026-05-20,おもちゃ・趣味,273万円,883万円,https://shop.tiktok.com/view/product/1735126997527856991?region=JP,https://www.kalodata.com/product/detail?id=1735126997527856991
【公式】Lv.Delta ムスク 香水 メンズ ベルガモット EDP 50mL / 単品,"1,134万円",-38%,2241,4.2,"5,062円",10%,272,13.24%,2025-12-16,美容・パーソナルケア,58万円,"1,077万円",https://shop.tiktok.com/view/product/1731848144738092036?region=JP,https://www.kalodata.com/product/detail?id=1731848144738092036
たった10秒でトーンアップ|顔用日焼け止め SPF50 PA+++|bbクリーム 化粧下地|白浮きしにくい自然な透明感肌へ｜すっぴん風メイク・保湿ケア|ナイアシンアミド×4種ヒアルロン酸配合トーンアップUV|expressions クリーム|50g,"1,102万円",-34.8%,7548,4.2,"1,460円",20%,387,50.9%,2025-09-28,美容・パーソナルケア,265万円,837万円,https://shop.tiktok.com/view/product/1732179251610617243?region=JP,https://www.kalodata.com/product/detail?id=1732179251610617243
バター taonini 泥感 手作り 無害 食品グレードシリコン スクイーズ、ゆっくりとした反動でストレス解消になるおもちゃ,"1,087万円",7.3%,6536,4.8,"1,663円",8%,352,53.69%,2026-01-07,おもちゃ・趣味,183万円,904万円,https://shop.tiktok.com/view/product/1733900901336450811?region=JP,https://www.kalodata.com/product/detail?id=1733900901336450811
本革ショルダーバッグ ポシェット 斜め掛け ダブルファスナー シングルファスナー ダブルジッパー レディース 大人 本革バッグ レザー 【euni-22】,"1,079万円",-56.8%,1299,4.7,"8,304円",7%,179,32.96%,2025-12-25,旅行かばん・バッグ,715万円,364万円,https://shop.tiktok.com/view/product/1733713325293012786?region=JP,https://www.kalodata.com/product/detail?id=1733713325293012786
【動画限定】MEDULLA 髪質改善×超音波アイロン ソニックシャインプロ 実質無料ヘアマスク,"1,059万円",-43.5%,708,4.5,1万円,12%,127,20.47%,2026-05-31,美容・パーソナルケア,39万円,"1,020万円",https://shop.tiktok.com/view/product/1735800597554956005?region=JP,https://www.kalodata.com/product/detail?id=1735800597554956005
水切りラック 水切りスタンド 水切りかご シンク上 スリム 伸縮 ステンレス 折りたたみ コンパクト 水切り 水筒 哺乳瓶 ボトル スタンド L型 水切りカゴ 大容量 シンク内 箸立て 小物トレー ディッシュスタンド タテ ヨコ,"1,039万円",-1.2%,2902,4.5,"3,581円",10%,197,46.7%,2026-06-28,キッチン用品,45万円,994万円,https://shop.tiktok.com/view/product/1736145218394883569?region=JP,https://www.kalodata.com/product/detail?id=1736145218394883569
【9月8日0:00～ ステッカー付※なくなり次第終了】【公式】HARIAS(ハリアス) 薬用クッションファンデーション SPF50+/PA+++ ナイアシンアミド 高濃度フラバンジェノール 医薬部外品 美容液 薬用クッションファンデーション,997万円,19.9%,4605,4.3,"2,165円",5%,409,40.1%,2025-07-19,美容・パーソナルケア,319万円,678万円,https://shop.tiktok.com/view/product/1731773389120701711?region=JP,https://www.kalodata.com/product/detail?id=1731773389120701711
WHIPSPICE　車載ディフューザー＆選べる香りセット 10ml ネブライザー システム ・ マットブラックデザイン,963万円,-10.9%,797,4.6,1万円,10%,107,20.56%,2025-12-22,自動車・バイク,127万円,836万円,https://shop.tiktok.com/view/product/1733273309060827054?region=JP,https://www.kalodata.com/product/detail?id=1733273309060827054
【公式 味のちぬや】 串カツオールスター50本セット  [ 串カツ 手軽 簡単 揚げ調理 大容量 詰め合わせ 冷凍 食品 おかず 惣菜 揚げ物 お弁当 誕生日 便利 お試し おためし 中国産 ],954万円,-52.6%,1733,4.6,"5,507円",5%,219,48.86%,2026-04-10,食品・飲料,355万円,599万円,https://shop.tiktok.com/view/product/1734820507000407616?region=JP,https://www.kalodata.com/product/detail?id=1734820507000407616
Enchenal Lab 電動シェーバー メンズ 往復式 髭剃り 小型 深剃り 0.05mm薄ハニカムメッシュ刃 高速駆動 長持ちバッテリー 出張 旅行 携帯用,950万円,7.1%,4294,4.2,"2,212円",11%,355,29.3%,2025-12-29,美容・パーソナルケア,83万円,867万円,https://shop.tiktok.com/view/product/1733607424279414560?region=JP,https://www.kalodata.com/product/detail?id=1733607424279414560
"【今だけ6,000円OFFクーポン】アクションカメラ ポケットジンバル 4K 動画撮影 7500万画素 32GBメモリカード付属 小型 軽量 1.72インチ画面 Bluetooth6.1 高性能【PL保険加入済み製品・安心】",949万円,280.7%,479,4.6,2万円,13%,165,18.18%,2026-05-26,スマートフォン・エレクトロニクス,100万円,849万円,https://shop.tiktok.com/view/product/1735245117780427897?region=JP,https://www.kalodata.com/product/detail?id=1735245117780427897
Aomiss シャワーヘッド マイクロナノバブル 節水 うるおい ミスト 約12億9800万個ナノバブル 最大90％節水 シャワー洗浄力抜群 取り付け簡単 5つモード 増圧 高洗浄力 毛穴 汚れ 除去 美髪 美肌 美顔 美容 保湿 ナノバブルシャワー ヘッド シャワー フェース 手元止水 取付簡単 アダプター付き 国際汎用5種類の接続口に対応 新生活 おすすめ 日本語説明書 送料無料,939万円,-13.4%,3069,4.4,"3,061円",13%,209,38.76%,2025-09-05,ホームセンター,239万円,700万円,https://shop.tiktok.com/view/product/1732159856629875795?region=JP,https://www.kalodata.com/product/detail?id=1732159856629875795
【Wavytalk公式】スチームストレートブラシ、ヘアストレートブラシアイロン、水蒸気でヘアケアのストレートブラシ4つの温度調整機能、ストレートアイロン、ヘアアイロンおすすめ、縮毛矯正不要！自然なツヤ髪に、おくれげ巻き髪、ホームサロン用のストレートナーコーム高速加熱、くし型スチームブラシアイロン、デュアル電圧、TikTok Shop限定#セール#限定価格#クーポン#送料無料#おすすめ商品#買ってよかった#人気商品#タイムセール#お得情報#トクトクSALE#ショップを始めました#秋のリピ買い,935万円,-14.3%,1192,4.5,"7,841円",6%,524,21.56%,2025-09-25,美容・パーソナルケア,379万円,556万円,https://shop.tiktok.com/view/product/1732486801099818370?region=JP,https://www.kalodata.com/product/detail?id=1732486801099818370
形不揃い 生ハム 切り落とし 500g 端材 ブロック 業務用 大容量 お徳用 パーティー 生ハム おつまみ ギフト プレゼント 冷凍 おかず 洋風 総菜 朝ごはん 朝食 オードブル お中元,922万円,44.9%,2192,4.6,"4,206円",5%,199,51.76%,2026-06-27,食品・飲料,580万円,342万円,https://shop.tiktok.com/view/product/1732165193325642944?region=JP,https://www.kalodata.com/product/detail?id=1732165193325642944
モバイルバッテリー 軽量 小型  22800mAh  バッテリー 大容量 22.5W 急速充電 5台同時充電 充電器 ケーブル内蔵 携帯充電器 SCP 22.5W/PD 20W/QC 3.0最速 機内持込 防災グッズ 扇風機 ハンディファン iPhone iPad Android 対応,910万円,121.2%,5534,4.4,"1,645円",10%,192,47.4%,2025-07-22,スマートフォン・エレクトロニクス,28万円,882万円,https://shop.tiktok.com/view/product/1731748079683602194?region=JP,https://www.kalodata.com/product/detail?id=1731748079683602194
XBJ 1080P 400 ルーメンプロジェクターは 360 度回転機能・自動台形補正を搭載。Bluetooth5.5とワイヤレス HDMI でスマホやゲーム機と簡単接続。コンパクト設計で場所を取らず、ホリデーシーズンの贈り物にピッタリなホームシアターです。,866万円,13.7%,901,4.1,"9,616円",3%,104,28.85%,2025-11-04,スマートフォン・エレクトロニクス,27万円,839万円,https://shop.tiktok.com/view/product/1731801417890760622?region=JP,https://www.kalodata.com/product/detail?id=1731801417890760622
8/30【目のスプレー】【ABITOKYO】　エ ナ ジーウォーターミスト(アイミスト) 80ml 2本　209 特典目のスプレー2本,863万円,-100%,587,4.5,1万円,-,2,100%,2026-01-30,美容・パーソナルケア,863万円,0円,https://shop.tiktok.com/view/product/1734239236973561066?region=JP,https://www.kalodata.com/product/detail?id=1734239236973561066
【OTTOCAST 公式 ・ 数量限定】 OTTOCAST ScreenFlow カー・ディスプレイ スマートデバイス,847万円,-45.4%,389,4.1,2万円,10%,142,29.58%,2025-08-22,自動車・バイク,299万円,548万円,https://shop.tiktok.com/view/product/1732009295448016019?region=JP,https://www.kalodata.com/product/detail?id=1732009295448016019
【公式】 Ottocast E2 オットキャスト OttoAiBox  2026最新 Android 13 CarPlay AI Box アダプター GPS内蔵 YouTube/Netflixなど動画視聴可能 純正有線CarPlay車両/Android Auto ワイヤレス化 【技適取得済み品】,845万円,-51.6%,311,4.3,3万円,10%,131,22.9%,2025-10-26,自動車・バイク,682万円,163万円,https://shop.tiktok.com/view/product/1732973813967062163?region=JP,https://www.kalodata.com/product/detail?id=1732973813967062163
特大バター taonini 特大バター、土のような質感、手作り・無毒、食品グレードのシリコン製スクイーズ。ゆっくりと戻る反動でストレス解消に役立つおもちゃです。,839万円,-58.6%,3453,4.8,"2,429円",8%,47,91.49%,2026-08-15,おもちゃ・趣味,262万円,576万円,https://shop.tiktok.com/view/product/1736905959913588475?region=JP,https://www.kalodata.com/product/detail?id=1736905959913588475
【公式】ティーフレックス Teaflex グリーンティー お茶  stoked store,818万円,-49.2%,6375,4.7,"1,283円",8%,330,45.15%,2026-07-03,食品・飲料,753万円,65万円,https://shop.tiktok.com/view/product/1736306738341643850?region=JP,https://www.kalodata.com/product/detail?id=1736306738341643850
【衝撃の50％オフ｜期間限定おまけ付き】ベーグル10個ガチャセット自然解凍可能 惣菜 朝食 朝ごはん パン　※賞味期限はお届けから20日以上,817万円,-81.7%,1832,4.8,"4,457円",5%,201,41.29%,2026-02-07,食品・飲料,386万円,431万円,https://shop.tiktok.com/view/product/1733932799093278322?region=JP,https://www.kalodata.com/product/detail?id=1733932799093278322
Beelicious スープメーカー 1000ml ｜全自動 濃厚スープ・豆乳・お粥｜乾燥豆からそのままOK・こし不要｜強靭8枚刃｜高温自動洗浄・除菌｜12時間予約｜離乳食・ジュース・ナッツ対応,810万円,-32%,1380,4.3,"5,867円",10%,413,25.42%,2026-01-29,家電製品,596万円,214万円,https://shop.tiktok.com/view/product/1734216108967495357?region=JP,https://www.kalodata.com/product/detail?id=1734216108967495357
【滋賀県産】【コシヒカリ】炊きたて 冷めても ふっくら Z 柔らかく つややか 甘み 香り 弾力 食感 琵琶湖 清らかな水 自然環境 特別 お米 お弁当 おにぎり 家庭料理 ぴったり 食卓 贅沢 彩る 安心 安全 美味しい 国産米 人気品種 近江米 高品質 低温乾燥 精密管理 旨み 香ばしさ 甘み もちもち ふっくら しっとり おすすめ 定番 人気,809万円,-99.9%,3066,4.7,"2,638円",-,9,100%,2026-04-28,食品・飲料,646万円,162万円,https://shop.tiktok.com/view/product/1735237235728352369?region=JP,https://www.kalodata.com/product/detail?id=1735237235728352369
【AMILOZI 公式】   鼻専用美顔器 EMS  鼻クリップ 鼻 美顔器  ems  美鼻  電動美顔器 鼻筋ピン ホームエステ 充電式 充電ケーブル付き,804万円,-48.3%,1448,4.2,"5,554円",20%,173,32.95%,2025-11-27,美容・パーソナルケア,340万円,465万円,https://shop.tiktok.com/view/product/1732887270954206879?region=JP,https://www.kalodata.com/product/detail?id=1732887270954206879
形バラバラ 明太子 辛子明太子 お徳用 1kg 明太子 切れ子 バラコ 海鮮 魚卵 からし明太子 美味しい 穴あき バラ 博多仕込み 福岡 めんたいこ,801万円,-36.9%,1454,4.6,"5,506円",5%,188,50.53%,2026-02-09,食品・飲料,528万円,273万円,https://shop.tiktok.com/view/product/1734359437286474944?region=JP,https://www.kalodata.com/product/detail?id=1734359437286474944
浴室 ラック マグネット シャンプーラック 棚 収納 バスルーム バスケット お風呂 浴室収納 磁石 壁面収納 浮かせる 小物 おもちゃ入れ  シャンプーボトル おしゃれ  タオルハンガー 強力 マグネットラック 壁面,785万円,233.1%,2219,4.7,"3,536円",10%,150,34%,2026-07-21,ホーム用品,8万円,776万円,https://shop.tiktok.com/view/product/1736595036568126961?region=JP,https://www.kalodata.com/product/detail?id=1736595036568126961
【配送無料 埼玉県発送】ハンディクリーナー 強力吸引  贈り物 mumumall コードレス  無刷モーター 静音設計 車載用 車載掃除機  真実検証20000Pa 透明ダストカップ 水洗い可能 車内の隙間・細部清掃に最適,782万円,-62.5%,2565,4.3,"3,050円",5%,179,30.73%,2025-10-25,家電製品,50万円,732万円,https://shop.tiktok.com/view/product/1732922908061894095?region=JP,https://www.kalodata.com/product/detail?id=1732922908061894095
【公式】by one sii バイワンシー スムースリペアエッセンス | シャンプーに混ぜる美容液 290g,776万円,-79%,2578,4.3,"3,010円",10%,202,11.88%,2025-09-10,美容・パーソナルケア,32万円,744万円,https://shop.tiktok.com/view/product/1732096710641026997?region=JP,https://www.kalodata.com/product/detail?id=1732096710641026997
EXCEPTION  【快眠サポート】高反発マットレス 三つ折り マットレス メモリーマット 10cm厚  25D 折りたたみ  腰をしっかり支える 寝返りしやすい  抗菌・防臭 洗えるカバー 敷布団  シングル／セミダブル／ダブル 190N,770万円,-32.1%,1580,4.5,"4,871円",5%,130,33.08%,2025-11-01,家具,620万円,150万円,https://shop.tiktok.com/view/product/1732998899197315050?region=JP,https://www.kalodata.com/product/detail?id=1732998899197315050
【公式】 KITEN バルーンラッシュ まつ毛美容液 8ml,769万円,557.9%,2977,4.2,"2,584円",-,65,56.92%,2026-04-20,美容・パーソナルケア,0円,769万円,https://shop.tiktok.com/view/product/1735209856585008963?region=JP,https://www.kalodata.com/product/detail?id=1735209856585008963
国内産 ほほえみ米 5kg ~ 10kg お米  送料無料 白米 おいしい 10キロ,768万円,-27.9%,5501,4.7,"1,396円",1%,231,59.31%,2026-05-21,食品・飲料,151万円,617万円,https://shop.tiktok.com/view/product/1735282094304298238?region=JP,https://www.kalodata.com/product/detail?id=1735282094304298238
［佐賀牛入り生ハンバーグ　極ふわ］ご自宅用 | 生ハンバーグ120ｇ×4個~ 　佐賀牛 黒毛和牛 累計販売数687万個突破　九州食市場中村屋,745万円,-17.2%,2312,4.2,"3,223円",5%,82,50%,2026-08-29,食品・飲料,696万円,50万円,https://shop.tiktok.com/view/product/1737250018821310351?region=JP,https://www.kalodata.com/product/detail?id=1737250018821310351
国産しらた米 5kg 訳あり 宮城県製造 小粒米 精米 おこめ 白米 生活応援価格 おかゆや炊き込みご飯 炒め飯に,739万円,24%,5892,4.3,"1,253円",4%,207,58.94%,2026-07-09,食品・飲料,217万円,521万円,https://shop.tiktok.com/view/product/1736331171784197549?region=JP,https://www.kalodata.com/product/detail?id=1736331171784197549
【限定クーポンで50％OFF！】雑穀米 北海道 金の 24穀米 800g (400g×2袋) 国産 無添加 無着色 もち麦 発芽玄米 黒米 もちきび もち 押し麦 緑米 穀物 食物繊維 混ぜるだけ 置き換え  【DS06】 【Q】,734万円,-45.6%,4993,4.6,"1,470円",6%,203,62.07%,2026-07-15,食品・飲料,126万円,608万円,https://shop.tiktok.com/view/product/1736188558602373096?region=JP,https://www.kalodata.com/product/detail?id=1736188558602373096
MAGINA マギナ 亜鉛 サプリ シトルリン アルギニン 49500mg サプリメント 1袋(約30日分),729万円,-55.8%,2853,4.2,"2,556円",40%,297,41.75%,2026-06-20,健康,56万円,673万円,https://shop.tiktok.com/view/product/1736139096473044513?region=JP,https://www.kalodata.com/product/detail?id=1736139096473044513
大人気【2026最新・第3世代】スマートウォッチ Chat GPT FOSMET QS40 iPhone アンドロイド対応 Smart Watch 丸型 メンズ 10日間のバッテリー持ち 常時表示 AI文字盤 1.43インチ AMOLEDディスプレイ サファイアガラス搭載 通知や通話機能付き自動運動検知 3ATM防水 付属ベルト2本,726万円,6.1%,970,4.5,"7,486円",5%,123,32.52%,2026-03-03,スマートフォン・エレクトロニクス,87万円,639万円,https://shop.tiktok.com/view/product/1734341477093049443?region=JP,https://www.kalodata.com/product/detail?id=1734341477093049443
もこもこ毛布 ふわとろ ブランケット フランネル生地 クッションカバー 圧縮袋 洗濯機対応 軽量 マイクロファイバー 静電気防止 秋冬 プレゼント ギフト（Ｔ）【euni-123】,708万円,-25.2%,5182,4.5,"1,367円",8%,200,41.5%,2026-08-21,テキスタイル・ソフトファニシング,676万円,32万円,https://shop.tiktok.com/view/product/1737140025076975410?region=JP,https://www.kalodata.com/product/detail?id=1737140025076975410
【ARフィルム新発売】MAGIC JOHN 強化ガラスフィルム ホコリゼロフィルム 2枚入,706万円,14.6%,6929,4.5,"1,019円",5%,235,41.7%,2025-07-19,スマートフォン・エレクトロニクス,15万円,690万円,https://shop.tiktok.com/view/product/1731777632099206971?region=JP,https://www.kalodata.com/product/detail?id=1731777632099206971
【新米！ 千葉県産コシヒカリ １等米 100％使用】令和8年 産地厳選 コシヒカリ 5kg ～ 10kg （5kg×2個）お米 送料無料 白米,691万円,7.7%,1963,4.7,"3,519円",5%,119,54.62%,2026-06-25,食品・飲料,395万円,296万円,https://shop.tiktok.com/view/product/1735282122116793598?region=JP,https://www.kalodata.com/product/detail?id=1735282122116793598
[新作発売]Monster モンスターAH100 アウトドアゲーミング ヘッドホンBluetoothイヤフォン   AIインテリジェントノイズリダクション 40mmドライバーユニット 40バッテリー,690万円,-35.2%,2018,4.1,"3,421円",10%,245,24.49%,2026-01-06,スマートフォン・エレクトロニクス,3万円,687万円,https://shop.tiktok.com/view/product/1733320212029736018?region=JP,https://www.kalodata.com/product/detail?id=1733320212029736018
【Enchenal Lab公式】コードレス ストレートヘアブラシアイロン、携帯用電動ストレートブラシアイロン、イオンヘアケア機能付き、20秒急速加熱、5段階の温度調節、15分自動電源オフ、 火傷防止、LEDディスプレイ、静電気防止、温度 ロック機能、誤操作防止、マイナスイオン、頭皮ケア、髪質改善、時短、 くせ毛・寝癖の矯正、持ち運びに便利で火傷防止 梅雨の季節,683万円,4.7%,1412,4.2,"4,835円",11%,230,20.87%,2026-01-03,美容・パーソナルケア,106万円,576万円,https://shop.tiktok.com/view/product/1733648121872286858?region=JP,https://www.kalodata.com/product/detail?id=1733648121872286858
のむシリカ 水 500ml 24本セット ナチュラルミネラルウォーター,678万円,-43.2%,3050,4.8,"2,224円",10%,567,36.68%,2025-12-07,食品・飲料,557万円,122万円,https://shop.tiktok.com/view/product/1733251157192246554?region=JP,https://www.kalodata.com/product/detail?id=1733251157192246554
DNZZS スウェット プルスウェット 男 裏起毛 ふんわり 秋 冬 ヴィンテージ感 クルーネック カジュアル 柔らかい 通気 すっきり デイリー コーデ  おしゃれ シンプル ファッション リラックス ゆったり オーバーサイズ ストリートLT-MT-111,677万円,>999.9%,2944,4.5,"2,301円",5%,125,18.4%,2026-08-26,スポーツ・アウトドア,4万円,674万円,https://shop.tiktok.com/view/product/1737108282725467766?region=JP,https://www.kalodata.com/product/detail?id=1737108282725467766
黒餃子48個 ＆ 本餃子48個！合計96個分（約16人前） 餃子 送料無料 【5000万個完売】,664万円,-76.7%,1693,4.7,"3,924円",8%,157,39.49%,2025-10-07,食品・飲料,595万円,70万円,https://shop.tiktok.com/view/product/1732620146023237364?region=JP,https://www.kalodata.com/product/detail?id=1732620146023237364
【日本製】洗濯革命 ナノバブール Wトルネード 【全自動洗濯機用 ドラム式 対応】,658万円,-29.3%,2523,4.1,"2,607円",10%,117,55.56%,2025-11-06,工具・金物,207万円,451万円,https://shop.tiktok.com/view/product/1733047897890260591?region=JP,https://www.kalodata.com/product/detail?id=1733047897890260591
【リフレッシュケアセット②】エレキリフトジェル / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),651万円,-100%,332,4.2,2万円,-,55,56.36%,2026-07-31,美容・パーソナルケア,651万円,0円,https://shop.tiktok.com/view/product/1736774912655656125?region=JP,https://www.kalodata.com/product/detail?id=1736774912655656125
油汚れクロス 油汚れふきん キッチンクロス レンジクロス 布巾 油汚れ 専用 ふきん 台拭き マイクロファイバー クロス タオル キッチンタオル コンロ レンジ ガス IH 排気口 掃除 キッチン kit9,650万円,-10.6%,5193,4.6,"1,253円",8%,195,41.54%,2025-11-04,テキスタイル・ソフトファニシング,156万円,495万円,https://shop.tiktok.com/view/product/1732769630395991537?region=JP,https://www.kalodata.com/product/detail?id=1732769630395991537
折りたたみピンチハンガー 折り畳み 多機能 35個ピンチ ステンレス 軽量 伸縮自在 ストッパー付き（T）【euni-168】,646万円,-46.5%,2077,4.2,"3,110円",7%,105,54.29%,2026-01-31,ホーム用品,243万円,403万円,https://shop.tiktok.com/view/product/1734231419828340530?region=JP,https://www.kalodata.com/product/detail?id=1734231419828340530
VITAS (バイタス) ホエイプロテイン100 ブルーベリーヨーグルト風味 WPCプロテイン 国内製造 1kg,644万円,-63.1%,1513,4.7,"4,260円",2%,110,50.91%,2025-07-08,健康,65万円,579万円,https://shop.tiktok.com/view/product/1731422323263833721?region=JP,https://www.kalodata.com/product/detail?id=1731422323263833721
とろけるような肌触り！オールシーズン フランネル キルティングラグ おしゃれ対応90x130cm/130×185cm/185×185cm/185×240cm  丸洗いok  おしゃれでふんわりやわらか 床暖房・ホットカーペット対応 滑り止め加工,642万円,273.7%,2580,4.5,"2,488円",7%,188,27.66%,2025-11-04,テキスタイル・ソフトファニシング,8万円,633万円,https://shop.tiktok.com/view/product/1732712893920020026?region=JP,https://www.kalodata.com/product/detail?id=1732712893920020026
モバイルバッテリー、ワイヤレス充電器、マグネット式充電、USB-A出力ポート/Type-C入出力ポート搭載、iPhone/iPad対応、旅行/出張/災害救援ギフトに最適。,637万円,-42.3%,4657,4.2,"1,367円",10%,312,42.63%,2026-04-02,スマートフォン・エレクトロニクス,64万円,573万円,https://shop.tiktok.com/view/product/1734791422803347195?region=JP,https://www.kalodata.com/product/detail?id=1734791422803347195
ワンピースエプロン ギャザー 肩ひも 長さ調節可 ポケット付き しわになりにくい かぶるだけ 保育士 美容師 レストラン 料理 花屋 キャミソール 無地 レディース カフェ ギフト プレゼント おしゃれ（3）【euni-130】,633万円,57.1%,1847,4.4,"3,428円",8%,130,52.31%,2026-01-17,ホーム用品,127万円,506万円,https://shop.tiktok.com/view/product/1734019660269848370?region=JP,https://www.kalodata.com/product/detail?id=1734019660269848370
【公式】アイラッシュセラムN2（まつ毛美容液）フィービー ビューティーアップ,629万円,20.7%,1891,4.3,"3,327円",12%,169,37.28%,2026-03-13,美容・パーソナルケア,598万円,31万円,https://shop.tiktok.com/view/product/1734387011059942799?region=JP,https://www.kalodata.com/product/detail?id=1734387011059942799
【素肌アップデートセット】エレキリフトジェルセット / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),621万円,-1%,276,4.9,2万円,-,2,100%,2026-03-08,美容・パーソナルケア,0円,621万円,https://shop.tiktok.com/view/product/1734509834704356541?region=JP,https://www.kalodata.com/product/detail?id=1734509834704356541
10 秒で透感のある完璧なベースメイクを完成 Expressions スキンケアクリーム 3 点セット日焼け止めカバー力ベースメイクが一体になり防水防汗で 12 時間もち,616万円,-35%,1449,4.3,"4,250円",20%,281,28.47%,2026-04-22,美容・パーソナルケア,479万円,137万円,https://shop.tiktok.com/view/product/1735186431174870427?region=JP,https://www.kalodata.com/product/detail?id=1735186431174870427
巾着バッグ ナイロン風 ショルダーバッグ レディース ナイロンバッグ 軽い 斜め掛け 4way 巾着  リュック ブラック 巾着ショルダー レディースバッグ バッグ ペットボトル 巾着 おしゃれ グレージュ アイボリー ドロスト ドロストバッグ,612万円,-59.9%,947,4.4,"6,467円",10%,249,33.33%,2025-10-18,旅行かばん・バッグ,354万円,259万円,https://shop.tiktok.com/view/product/1732841542407390705?region=JP,https://www.kalodata.com/product/detail?id=1732841542407390705
【新色ストライプ登場】ジャージみたいなセットアップ テーラード ジャケット スラックス 洗える カジュアルスーツ 上下セット セットアップ メンズ スーツ  オフィスカジュアル ビジネスカジュアル,602万円,69.1%,763,4.4,"7,886円",8%,132,32.58%,2026-01-30,メンズウェア・下着,8万円,594万円,https://shop.tiktok.com/view/product/1734039104155583731?region=JP,https://www.kalodata.com/product/detail?id=1734039104155583731
キッチンクロス 油汚れ 油 吸水 油汚れクロス  ふきん タオル マイクロファイバー 全4色 コンロ ガスレンジ IH 排気口 台拭き キッチン 食器 掃除 汚れ 簡単お手入れ【euni-42】,601万円,-6.6%,7184,4.6,837円,8%,224,55.8%,2025-12-22,ホーム用品,99万円,502万円,https://shop.tiktok.com/view/product/1733619057485973298?region=JP,https://www.kalodata.com/product/detail?id=1733619057485973298
