商品名,取引金額 (円),投稿日,1000視聴回数取引金額 (円),広告視聴率,視聴回数,クリエイター,フォロワー数,動画ID,動画リンク
シャワーヘッド マイクロナノバブル 水量節約うるおいミスト 約1億2980万個のナノバブル 最大90%の水量節約 シャワー洗浄力が抜群 簡単取り付け 5つのモード 強力洗浄 毛穴汚れ除去 美髪・美肌・美顔・美容 保湿 マイクロナノバブルシャワーヘッド シャワー 顔・手洗い時の水の止め切り 簡単取り付けアダプター付属 国際標準対応の5種類の接続口に対応 新生活におすすめ 日本語説明書,39万円,2026-09-18,"6,606円",39.59%,5.86万,@nemnem_po,5.56万,7686437124798909717,https://www.tiktok.com/@nemnem_po/video/7686437124798909717
【ARフィルム新発売】MAGIC JOHN 強化ガラスフィルム ホコリゼロフィルム 2枚入,39万円,2026-09-20,119円,1.16%,323.28万,@magicjohn.japan,27.11万,7687516840511261972,https://www.tiktok.com/@magicjohn.japan/video/7687516840511261972
【3周年記念】限定セール！藤の花ブレスレット — ロマンチックなラベンダーストーン×上品なデザイン、デートにもぴったり,38万円,2026-09-21,"1,523円",17.06%,25.05万,@kimi.loa,"6,613",7687916713286929682,https://www.tiktok.com/@kimi.loa/video/7687916713286929682
【素肌アップデートセット】エレキリフトジェルセット / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),38万円,2026-08-29,"3,346円",0%,11.4万,@nishinomiki_official,17.57万,7679381855736433938,https://www.tiktok.com/@nishinomiki_official/video/7679381855736433938
【配送無料 埼玉県発送】ハンディクリーナー 強力吸引  贈り物 mumumall コードレス  無刷モーター 静音設計 車載用 車載掃除機  真実検証20000Pa 透明ダストカップ 水洗い可能 車内の隙間・細部清掃に最適,38万円,2026-09-18,420円,4.99%,90.73万,@mumu760057,"2,935",7686696313810865426,https://www.tiktok.com/@mumu760057/video/7686696313810865426
【OTTOCAST 公式 ・ 数量限定】 OTTOCAST ScreenFlow カー・ディスプレイ スマートデバイス,38万円,2026-09-16,"2,564円",0%,14.79万,@salaryman_mikata,"3,305",7686057460167200020,https://www.tiktok.com/@salaryman_mikata/video/7686057460167200020
"【今だけ6,000円OFFクーポン】アクションカメラ ポケットジンバル 4K 動画撮影 7500万画素 32GBメモリカード付属 小型 軽量 1.72インチ画面 Bluetooth6.1 高性能【PL保険加入済み製品・安心】",38万円,2026-09-14,"1,737円",23.63%,21.78万,@maeda.official.0118,3.25万,7685362194732813588,https://www.tiktok.com/@maeda.official.0118/video/7685362194732813588
\5倍ポイント/第 2 世代アップグレード版 コードレスミニストレートコーム  160 ℃   180 ℃   前髪アイロン  ブラシタイプ くし形 ヒートコーム コテ カールアイロン CHAOミニ 充電式 ワイヤレス 小さい 持続するち運び 旅行する 学校  お出かけるけ 通勤 通学する オフィス 人気のある かわいい  大学 コードレス ヒート ブラシ,38万円,2026-09-13,253円,3.05%,148.32万,@riho_shop,1.93万,7684839844308143380,https://www.tiktok.com/@riho_shop/video/7684839844308143380
送料無料  高音質ワイヤレスイヤホン Bluetoothイヤホン 耳掛け式 軽量フィット 折りたたみ収納 IPX5防水 防汗 145時間再生 通勤・運動・ランニング向け プレゼントにも喜ばれる実用モデル,37万円,2026-09-16,565円,5.18%,65.94万,@zayneyzvg5o,"1,433",7685702647298395400,https://www.tiktok.com/@zayneyzvg5o/video/7685702647298395400
【TikTok限定セール実施中】オルナオーガニック ヘアケア4点セット シャンプー500ｍl＋トリートメント500ml＋ヘアエッセンス80ml＋ヘアウォーター200ml,37万円,2026-09-14,1万円,87.08%,2.62万,@teineichans4,"1,074",7685399334963219733,https://www.tiktok.com/@teineichans4/video/7685399334963219733
形バラバラ 明太子 辛子明太子 お徳用 1kg 明太子 切れ子 バラコ 海鮮 魚卵 からし明太子 美味しい 穴あき バラ 博多仕込み 福岡 めんたいこ,37万円,2026-09-17,"1,235円",6.21%,29.98万,@yurufuwa_gadgets,2.36万,7686380329463975188,https://www.tiktok.com/@yurufuwa_gadgets/video/7686380329463975188
ワイヤレスイヤホン Bluetooth対応 スポーツイヤホン 耳掛け式 ランニングイヤホン フィットネス用 安定した装着感 14.2mmダイナミックドライバー バランスの良いサウンド IPX5防水対応 防汗仕様 最大145時間再生可能 マイク付き 通話対応 iPhone・Android対応,37万円,2026-09-11,933円,12.01%,39.58万,@subzdqmzhodb,993,7683856479312547079,https://www.tiktok.com/@subzdqmzhodb/video/7683856479312547079
適用アップル18ProMax透明な携帯ケース17 ProMaxスタンドフリップカードiPhone 14高級保護ケース,37万円,2026-09-20,88円,0.86%,417.54万,@alyisthyname,"2,593",7687557945915231509,https://www.tiktok.com/@alyisthyname/video/7687557945915231509
【#花雨グロス】デューステインシアーリップグロス / オーロラグロス｜milktouch,37万円,2026-09-10,210円,0%,174.88万,@amerin__,"1,737",7683867264742903060,https://www.tiktok.com/@amerin__/video/7683867264742903060
